slide_id,resolution,process,status,seg_level,sthresh,mthresh,close,use_otsu,a_t,a_h,max_n_holes,vis_level,line_thickness,use_padding,contour_fn,black_thresh,clip_min,clip_max,bag_size
c001-A,0.94,1,proccessed,0,3,19,4,FALSE,0.2,1,8,0,8,TRUE,four_pt_easy,0,100,10000,0
c001-B,0.94,1,proccessed,0,3,19,4,FALSE,0.2,1,8,0,8,TRUE,four_pt_easy,0,100,10000,0
c001-C,0.94,1,proccessed,0,3,19,4,FALSE,0.2,1,8,0,8,TRUE,four_pt_easy,0,100,10000,0
c001-D,0.94,0,tbp,0,3,19,4,FALSE,0.2,1,8,0,8,TRUE,four_pt_easy,0,100,10000,
c002-B,0.94,0,tbp,0,3,19,4,FALSE,0.2,1,8,0,8,TRUE,four_pt_easy,0,100,10000,
c002-D,0.94,1,proccessed,0,3,19,4,FALSE,0.2,1,8,0,8,TRUE,four_pt_easy,0,100,10000,0
c002-E,0.94,1,proccessed,0,3,19,4,FALSE,0.2,1,8,0,8,TRUE,four_pt_easy,0,100,10000,0
c002-F,0.94,1,proccessed,0,3,19,4,FALSE,0.2,1,8,0,8,TRUE,four_pt_easy,0,100,10000,0
c003-A,0.94,0,tbp,0,3,19,4,FALSE,0.2,1,8,0,8,TRUE,four_pt_easy,0,100,10000,
c003-B,0.94,1,proccessed,0,3,19,4,FALSE,0.2,1,8,0,8,TRUE,four_pt_easy,0,100,10000,0
c003-F,0.94,1,proccessed,0,3,19,4,FALSE,0.2,1,8,0,8,TRUE,four_pt_easy,0,100,10000,0
c004-A,0.94,0,tbp,0,3,19,4,FALSE,0.2,1,8,0,8,TRUE,four_pt_easy,0,100,10000,
c004-B,0.94,1,proccessed,0,3,19,4,FALSE,0.2,1,8,0,8,TRUE,four_pt_easy,0,100,10000,0
c004-D,0.94,1,proccessed,0,3,19,4,FALSE,0.2,1,8,0,8,TRUE,four_pt_easy,0,100,10000,0
c004-E,0.94,1,proccessed,0,3,19,4,FALSE,0.2,1,8,0,8,TRUE,four_pt_easy,0,100,10000,0
c005-B,0.94,0,tbp,0,3,19,4,FALSE,0.2,1,8,0,8,TRUE,four_pt_easy,0,100,10000,
c005-D,0.94,1,proccessed,0,3,19,4,FALSE,0.2,1,8,0,8,TRUE,four_pt_easy,0,100,10000,0
c005-F,0.94,1,proccessed,0,3,19,4,FALSE,0.2,1,8,0,8,TRUE,four_pt_easy,0,100,10000,0
c006-C,0.94,0,tbp,0,3,19,4,FALSE,0.2,1,8,0,8,TRUE,four_pt_easy,0,100,3000,
c007-A,0.94,0,tbp,0,3,19,4,FALSE,0.2,1,8,0,8,TRUE,four_pt_easy,0,100,10000,
c007-B,0.94,1,proccessed,0,3,19,4,FALSE,0.2,1,8,0,8,TRUE,four_pt_easy,0,100,10000,0
c007-D,0.94,1,proccessed,0,3,19,4,FALSE,0.2,1,8,0,8,TRUE,four_pt_easy,0,100,10000,0
c008-F,0.94,0,tbp,0,3,19,4,FALSE,0.2,1,8,0,8,TRUE,four_pt_easy,0,100,10000,
c009-A,0.94,0,tbp,0,3,19,4,FALSE,0.2,1,8,0,8,TRUE,four_pt_easy,0,100,10000,
c010-C,0.94,0,tbp,0,3,19,4,FALSE,0.2,1,8,0,8,TRUE,four_pt_easy,0,100,10000,
c011-B,0.94,1,proccessed,0,3,19,4,FALSE,0.2,1,8,0,8,TRUE,four_pt_easy,0,100,10000,0
c011-D,0.94,0,tbp,0,3,19,4,FALSE,0.2,1,8,0,8,TRUE,four_pt_easy,0,100,10000,
c012-B,0.94,0,tbp,0,3,19,4,FALSE,0.2,1,8,0,8,TRUE,four_pt_easy,0,100,10000,
c012-C,0.94,1,proccessed,0,3,19,4,FALSE,0.2,1,8,0,8,TRUE,four_pt_easy,0,100,10000,0
c013-D,0.94,0,tbp,0,3,19,4,FALSE,0.2,1,8,0,8,TRUE,four_pt_easy,0,100,10000,
c014-B,0.94,1,proccessed,0,3,19,4,FALSE,0.2,1,8,0,8,TRUE,four_pt_easy,0,100,10000,0
c014-C,0.94,1,proccessed,0,3,19,4,FALSE,0.2,1,8,0,8,TRUE,four_pt_easy,0,100,10000,0
c014-D,0.94,0,tbp,0,3,19,4,FALSE,0.2,1,8,0,8,TRUE,four_pt_easy,0,100,10000,
c015-A,0.94,0,tbp,0,3,19,4,FALSE,0.2,1,8,0,8,TRUE,four_pt_easy,0,100,10000,
c015-C,0.94,1,proccessed,0,3,19,4,FALSE,0.2,1,8,0,8,TRUE,four_pt_easy,0,100,10000,0
c015-E,0.94,1,proccessed,0,3,19,4,FALSE,0.2,1,8,0,8,TRUE,four_pt_easy,0,100,10000,0
